"","tickers","names"
"1398","LXFR","Luxfer Holdings PLC"
"1399","LDL","Lydall, Inc."
"1400","LYB","LyondellBasell Industries N.V."
"1401","MTB","M&T Bank Corporation"
"1402","MDC","M.D.C. Holdings, Inc."
"1403","MHO","M/I Homes, Inc."
"1404","MAC","The Macerich Company"
"1405","CLI","Mack-Cali Realty Corporation"
"1406","MFD","Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund"
"1407","MGU","Macquarie Global Infrastructure Total Return Fund Inc."
"1408","MIC","Macquarie Infrastructure Corporation"
"1409","BMA","Banco Macro S.A."
"1410","M","Macy's, Inc."
"1411","MCN","Madison Covered Call & Equity Strategy Fund"
"1412","MSGE","MSGE"
"1413","MSGS","MSGS"
"1414","MMP","Magellan Midstream Partners, L.P."
"1415","MGA","Magna International Inc."
"1416","MX","MagnaChip Semiconductor Corporation"
"1417","MGY","MGY"
"1418","MHLA","MHLA"
"1419","MHNC","Maiden Holdings North America, Ltd."
"1420","MAIN","Main Street Capital Corporation"
"1421","MMD","MainStay DefinedTerm Municipal Opportunities Fund"
"1422","MNK","Mallinckrodt Public Limited Company"
"1423","MANU","Manchester United plc"
"1424","MTW","The Manitowoc Company, Inc."
"1425","MN","Manning & Napier, Inc."
"1426","MAN","ManpowerGroup Inc."
"1427","MFC","Manulife Financial Corporation"
"1428","MRO","Marathon Oil Corporation"
"1429","MPC","Marathon Petroleum Corporation"
"1430","MMI","Marcus & Millichap, Inc."
"1431","MCS","The Marcus Corporation"
"1432","MPX","Marine Products Corporation"
"1433","HZO","MarineMax, Inc."
"1434","MKL","Markel Corporation"
"1435","VAC","Marriott Vacations Worldwide Corporation"
"1436","MMC","Marsh & McLennan Companies, Inc."
"1437","MLM","Martin Marietta Materials, Inc."
"1438","MAS","Masco Corporation"
"1439","DOOR","Masonite International Corporation"
"1440","MTZ","MasTec, Inc."
"1441","MA","Mastercard Incorporated"
"1442","MTDR","Matador Resources Company"
"1443","MTRN","Materion Corporation"
"1444","MATX","Matson, Inc."
"1445","MLP","Maui Land & Pineapple Company, Inc."
"1446","MAXR","MAXR"
"1447","MMS","MAXIMUS, Inc."
"1448","MXL","MaxLinear, Inc."
"1449","MEC","MEC"
"1450","MBI","MBIA Inc."
"1451","MKC","McCormick & Company, Incorporated"
"1452","MCD","McDonald's Corporation"
"1453","MUX","McEwen Mining Inc."
"1454","MCK","McKesson Corporation"
"1455","MDU","MDU Resources Group, Inc."
"1456","MTL","Mechel PAO"
"1457","MDLA","MDLA"
"1458","MPW","Medical Properties Trust, Inc."
"1459","MED","Medifast, Inc."
"1460","MCC","Medley Capital Corporation"
"1461","MCV","Medley Capital Corporation"
"1462","MCX","Medley Capital Corporation"
"1463","MDLQ","MDLQ"
"1464","MDLX","MDLX"
"1465","MDLY","Medley Management Inc."
"1466","MD","MEDNAX, Inc."
"1467","MDT","Medtronic plc"
"1468","MFAC","MFAC"
"1469","MRK","Merck & Co., Inc."
"1470","MCY","Mercury General Corporation"
"1471","MDP","Meredith Corporation"
"1472","MTH","Meritage Homes Corporation"
"1473","MTOR","Meritor, Inc."
"1474","MTR","Mesa Royalty Trust"
"1475","MSB","Mesabi Trust"
"1476","MEI","Methode Electronics, Inc."
"1477","MET","MetLife, Inc."
"1478","MCB","MCB"
"1479","MTD","Mettler-Toledo International Inc."
"1480","MXE","Mexico Equity & Income Fund Inc."
"1481","MXF","The Mexico Fund, Inc."
"1482","MFA","MFA Financial, Inc."
"1483","MFO","MFA Financial, Inc."
"1484","MCR","MFS Charter Income Trust"
"1485","MGF","MFS Government Markets Income Trust"
"1486","MIN","MFS Intermediate Income Trust"
"1487","MMT","MFS Multimarket Income Trust"
"1488","MFM","MFS Municipal Income Trust"
"1489","MFV","MFS Special Value Trust"
"1490","MTG","MGIC Investment Corporation"
"1491","MGP","MGP"
"1492","MGM","MGM Resorts International"
"1493","MFGP","MFGP"
"1494","MAA","Mid-America Apartment Communities, Inc."
"1495","AMPY","AMPY"
"1496","MLR","Miller Industries, Inc."
"1497","HIE","Miller/Howard High Income Equity Fund"
"1498","MTX","Minerals Technologies Inc."
"1499","MG","Mistras Group, Inc."
"1500","MUFG","MUFG"
"1501","MIXT","MiX Telematics Limited"
"1502","MFG","Mizuho Financial Group, Inc."
"1503","MBT","Public Joint-Stock Company Mobile TeleSystems"
"1504","MODN","Model N, Inc."
"1505","MOD","Modine Manufacturing Company"
"1506","MC","Moelis & Company"
"1507","MOGU","MOGU"
"1508","MHK","Mohawk Industries, Inc."
"1509","MOH","Molina Healthcare, Inc."
"1510","TAP","Molson Coors Brewing Company"
"1511","MNR","Monmouth Real Estate Investment Corporation"
"1512","MR","MR"
"1513","MEG","Media General, Inc."
"1514","MCO","Moody's Corporation"
"1515","MS","Morgan Stanley"
"1516","CAF","Morgan Stanley China A Share Fund, Inc."
"1517","MSD","Morgan Stanley Emerging Markets Debt Fund, Inc."
"1518","EDD","Morgan Stanley Emerging Markets Domestic Debt Fund, Inc."
"1519","IIF","Morgan Stanley India Investment Fund, Inc."
"1520","MOS","The Mosaic Company"
"1521","MSI","Motorola Solutions, Inc."
"1522","MOV","Movado Group, Inc."
"1523","MPLX","MPLX LP"
"1524","MRC","MRC Global Inc."
"1525","MSA","MSA Safety Incorporated"
"1526","MSM","MSC Industrial Direct Co., Inc."
"1527","MSCI","MSCI Inc."
"1528","MSGN","MSG Networks Inc."
"1529","MLI","Mueller Industries, Inc."
"1530","MWA","Mueller Water Products, Inc."
"1531","MVF","BlackRock MuniVest Fund, Inc."
"1532","MZA","BlackRock MuniYield Arizona Fund, Inc."
"1533","MUR","Murphy Oil Corporation"
"1534","MUSA","Murphy USA Inc."
"1535","MVO","MV Oil Trust"
"1536","MVC","MVC Capital, Inc."
"1537","MVCD","MVCD"
"1538","MYE","Myers Industries, Inc."
"1539","MYOV","MYOV"
"1540","NBR","Nabors Industries Ltd."
"1541","NC","NACCO Industries, Inc."
"1542","NTP","Nam Tai Property Inc."
"1543","NTEST","NTEST"
"1544","NBHC","National Bank Holdings Corporation"
"1545","NFG","National Fuel Gas Company"
"1546","NGG","National Grid plc"
"1547","NHI","National Health Investors Inc."
"1548","NOV","National Oilwell Varco, Inc."
"1549","NPK","National Presto Industries, Inc."
"1550","NNN","National Retail Properties, Inc."
"1551","NRUC","NRUC"
"1552","SID","Companhia Siderúrgica Nacional"
"1553","NSA","National Storage Affiliates Trust"
"1554","NTCO","NTCO"
"1555","NGS","Natural Gas Services Group, Inc."
"1556","NGVC","Natural Grocers by Vitamin Cottage, Inc."
"1557","NRP","Natural Resource Partners L.P."
"1558","NTZ","Natuzzi S.p.A."
"1559","NWG","NWG"
"1560","NLS","Nautilus, Inc."
"1561","NVGS","Navigator Holdings Ltd."
"1562","NNA","Navios Maritime Acquisition Corporation"
"1563","NM","Navios Maritime Holdings Inc."
"1564","NMM","Navios Maritime Partners L.P."
"1565","NAV","Navistar International Corporation"
"1566","NCR","NCR Corporation"
"1567","NP","Neenah Paper, Inc."
"1568","NNI","Nelnet, Inc."
"1569","NPTN","NeoPhotonics Corporation"
"1570","NSCO","NSCO"
"1571","NVRO","Nevro Corp."
"1572","HYB","The New America High Income Fund Inc."
"1573","NFH","NFH"
"1574","GF","The New Germany Fund, Inc."
"1575","NWHM","The New Home Company Inc."
"1576","IRL","The New Ireland Fund, Inc."
"1577","NMFC","New Mountain Finance Corporation"
"1578","NMFX","NMFX"
"1579","EDU","New Oriental Education & Technology Group Inc."
"1580","NEWR","New Relic, Inc."
"1581","NRZ","New Residential Investment Corp."
"1582","SNR","New Senior Investment Group Inc."
"1583","NYCB","New York Community Bancorp, Inc."
"1584","NYT","The New York Times Company"
"1585","NJR","New Jersey Resources Corporation"
"1586","NEU","NewMarket Corporation"
"1587","NEM","Newmont Mining Corporation"
"1588","NR","Newpark Resources, Inc."
"1589","NEXA","NEXA"
"1590","NREF","NREF"
"1591","NXRT","NexPoint Residential Trust, Inc."
"1592","NHF","NexPoint Credit Strategies Fund"
"1593","NEP","NextEra Energy Partners, LP"
"1594","NEE","NextEra Energy, Inc."
"1595","NEX","NEX"
"1596","NGL","NGL Energy Partners LP"
"1597","NLSN","Nielsen Holdings plc"
"1598","NKE","NIKE, Inc."
"1599","NINE","NINE"
"1600","NIO","Nuveen Municipal Opportunity Fund, Inc."
"1601","NI","NiSource Inc."
"1602","NL","NL Industries, Inc."
"1603","NOAH","Noah Holdings Limited"
"1604","NOK","Nokia Corporation"
"1605","NOMD","Nomad Foods Limited"
"1606","NMR","Nomura Holdings, Inc."
"1607","OSB","Norbord Inc."
"1608","NAT","Nordic American Tankers Limited"
"1609","JWN","Nordstrom, Inc."
"1610","NSC","Norfolk Southern Corporation"
"1611","NOA","North American Energy Partners Inc."
"1612","NRT","North European Oil Royalty Trust"
"1613","NOC","Northrop Grumman Corporation"
"1614","NWN","Northwest Natural Gas Company"
"1615","NWE","Northwestern Corporation"
"1616","NCLH","Norwegian Cruise Line Holdings Ltd."
"1617","NVS","Novartis AG"
"1618","NVO","Novo Nordisk A/S"
"1619","DNOW","NOW Inc."
"1620","NRG","NRG Energy, Inc."
"1621","NUS","Nu Skin Enterprises, Inc."
"1622","NUE","Nucor Corporation"
"1623","NS","NuStar Energy L.P."
"1624","NSS","NuStar Logistics, L.P."
"1625","NTR","NTR"
"1626","NVG","Nuveen AMT-Free Municipal Credit Income Fund"
"1627","NUV","Nuveen Municipal Value Fund, Inc."
"1628","NUW","Nuveen AMT-Free Municipal Value Fund"
"1629","NEA","Nuveen AMT-Free Quality Municipal Income Fund"
"1630","NAZ","Nuveen Arizona Quality Municipal Income Fund"
"1631","NKX","Nuveen California AMT-Free Quality Municipal Income Fund"
"1632","NCB","Nuveen California Municipal Value Fund 2"
"1633","NCA","Nuveen California Municipal Value Fund, Inc."
"1634","NAC","Nuveen California Quality Municipal Income Fund"
"1635","JCE","Nuveen Core Equity Alpha Fund"
"1636","JCO","JCO"
"1637","JQC","Nuveen Credit Strategies Income Fund"
"1638","JDD","Nuveen Diversified Dividend and Income Fund"
"1639","DIAX","Nuveen Dow 30 Dynamic Overwrite Fund"
"1640","JEMD","JEMD"
"1641","NEV","Nuveen Enhanced Municipal Value Fund"
"1642","JFR","Nuveen Floating Rate Income Fund"
"1643","JRO","Nuveen Floating Rate Income Opportunity Fund"
"1644","NKG","Nuveen Georgia Quality Municipal Income Fund"
"1645","JGH","Nuveen Global High Income Fund"
"1646","JHY","Nuveen High Income 2020 Target Term Fund"
"1647","JHAA","JHAA"
"1648","JHB","JHB"
"1649","NXC","Nuveen California Select Tax-Free Income Portfolio"
"1650","NXN","Nuveen New York Select Tax-Free Income Portfolio"
"1651","NID","Nuveen Intermediate Duration Municipal Term Fund"
"1652","NMY","Nuveen Maryland Quality Municipal Income Fund"
"1653","NMT","Nuveen Massachusetts Quality Municipal Income Fund"
"1654","NUM","Nuveen Michigan Quality Municipal Income Fund"
"1655","NMS","Nuveen Minnesota Quality Municipal Income Fund"
"1656","NOM","Nuveen Missouri Quality Municipal Income Fund"
"1657","JLS","Nuveen Mortgage Opportunity Term Fund"
"1658","JMM","Nuveen Multi-Market Income Fund"
"1659","NHA","Nuveen Municipal 2021 Target Term Fund"
"1660","NZF","Nuveen Municipal Credit Income Fund"
"1661","NMCO","NMCO"
"1662","NMZ","Nuveen Municipal High Income Opportunity Fund"
"1663","NMI","Nuveen Municipal Income Fund, Inc."
"1664","NJV","Nuveen New Jersey Municipal Value Fund"
"1665","NXJ","Nuveen New Jersey Quality Municipal Income Fund"
"1666","NRK","Nuveen New York AMT-Free Quality Municipal Income Fund"
"1667","NYV","Nuveen New York Municipal Value Fund 2"
"1668","NNY","Nuveen New York Municipal Value Fund, Inc."
"1669","NAN","Nuveen New York Quality Municipal Income Fund"
"1670","NUO","Nuveen Ohio Quality Municipal Income Fund"
"1671","NPN","Nuveen Pennsylvania Municipal Value Fund"
"1672","NQP","Nuveen Pennsylvania Quality Municipal Income Fund"
"1673","JPC","Nuveen Preferred Income Opportunities Fund"
"1674","JPS","Nuveen Preferred Securities Income Fund"
"1675","JPT","JPT"
"1676","JPI","Nuveen Preferred and Income Term Fund"
"1677","NAD","Nuveen Quality Municipal Income Fund"
"1678","JRI","Nuveen Real Asset Income and Growth Fund"
"1679","JRS","Nuveen Real Estate Income Fund"
"1680","BXMX","Nuveen S&P 500 Buy-Write Income Fund"
"1681","SPXX","Nuveen S&P 500 Dynamic Overwrite Fund"
"1682","NIM","Nuveen Select Maturities Municipal Fund"
"1683","NXP","Nuveen Select Tax-Free Income Portfolio"
"1684","NXQ","Nuveen Select Tax-Free Income Portfolio 2"
"1685","NXR","Nuveen Select Tax-Free Income Portfolio 3"
"1686","NSL","Nuveen Senior Income Fund"
"1687","JSD","Nuveen Short Duration Credit Opportunities Fund"
"1688","NBB","Nuveen Build America Bond Fund"
"1689","JTD","Nuveen Tax-Advantaged Dividend Growth Fund"
"1690","JTA","Nuveen Tax-Advantaged Total Return Strategy Fund"
"1691","NPV","Nuveen Virginia Quality Municipal Income Fund"
"1692","NIQ","Nuveen Intermediate Duration Quality Municipal Term Fund"
"1693","NVT","NVT"
"1694","NVR","NVR, Inc."
"1695","CTEST","CTEST"
"1696","OAC","OAC"
"1697","OXY","Occidental Petroleum Corporation"
"1698","OII","Oceaneering International, Inc."
"1699","OCN","Ocwen Financial Corporation"
"1700","OFG","OFG Bancorp"
"1701","OGE","OGE Energy Corp."
"1702","OI","Owens-Illinois, Inc."
"1703","OIS","Oil States International, Inc."
"1704","ODC","Oil-Dri Corporation of America"
"1705","ORI","Old Republic International Corporation"
"1706","OLN","Olin Corporation"
"1707","OHI","Omega Healthcare Investors, Inc."
"1708","OMC","Omnicom Group Inc."
"1709","ONDK","On Deck Capital, Inc."
"1710","OGS","ONE Gas, Inc."
"1711","OLP","One Liberty Properties, Inc."
"1712","OCFT","OCFT"
"1713","OMF","OneMain Holdings, Inc."
"1714","OKE","ONEOK, Inc."
"1715","ONE","Higher One Holdings, Inc."
"1716","ONTO","ONTO"
"1717","OOMA","Ooma, Inc."
"1718","OPY","Oppenheimer Holdings Inc."
"1719","ORCL","Oracle Corporation"
"1720","ORAN","Orange S.A."
"1721","ORC","Orchid Island Capital, Inc."
"1722","OEC","Orion Engineered Carbons, S.A."
"1723","ORN","Orion Group Holdings, Inc."
"1724","IX","ORIX Corporation"
"1725","ORA","Ormat Technologies, Inc."
"1726","OSK","Oshkosh Corporation"
"1727","OR","OR"
"1728","SFTW","SFTW"
"1729","OTIS","OTIS"
"1730","OUT","Outfront Media Inc."
"1731","OSG","Overseas Shipholding Group, Inc."
"1732","OVV","OVV"
"1733","OMI","Owens & Minor, Inc."
"1734","OC","Owens Corning"
"1735","ORCC","ORCC"
"1736","OXM","Oxford Industries, Inc."
"1737","ROYT","Pacific Coast Oil Trust"
"1738","PACD","Pacific Drilling S.A."
"1739","PCG","PG&E Corporation"
"1740","PCGU","PCGU"
"1741","PKG","Packaging Corporation of America"
"1742","PD","PD"
"1743","PAGS","PAGS"
"1744","PANW","Palo Alto Networks, Inc."
"1745","PAM","Pampa Energía S.A."
"1746","PHX","Panhandle Oil and Gas Inc."
"1747","PARR","Par Pacific Holdings, Inc."
"1748","PAR","PAR Technology Corporation"
"1749","PGRE","Paramount Group, Inc."
"1750","PKE","Park Electrochemical Corp."
"1751","PK","PK"
"1752","PH","Parker-Hannifin Corporation"
"1753","PE","Parsley Energy, Inc."
"1754","PSN","PSN"
"1755","PRTY","Party City Holdco Inc."
"1756","PAYC","Paycom Software, Inc."
"1757","PBF","PBF Energy Inc."
"1758","PBFX","PBF Logistics LP"
"1759","BTU","Peabody Energy Corporation"
"1760","PSO","Pearson plc"
"1761","PEB","Pebblebrook Hotel Trust"
"1762","PBA","Pembina Pipeline Corporation"
"1763","PEI","Pennsylvania Real Estate Investment Trust"
"1764","PFSI","PennyMac Financial Services, Inc."
"1765","PMT","PennyMac Mortgage Investment Trust"
"1766","PAG","Penske Automotive Group, Inc."
"1767","PNR","Pentair plc"
"1768","PEN","Penumbra, Inc."
"1769","PFGC","Performance Food Group Company"
"1770","PKI","PerkinElmer, Inc."
"1771","PBT","Permian Basin Royalty Trust"
"1772","PVL","PVL"
"1773","PRT","PRT"
"1774","PRGO","Perrigo Company plc"
"1775","PRSP","PRSP"
"1776","PTR","PetroChina Company Limited"
"1777","PBR","Petróleo Brasileiro S.A. - Petrobras"
"1778","PFE","Pfizer Inc."
"1779","GHY","Prudential Global Short Duration High Yield Fund, Inc."
"1780","ISD","Prudential Short Duration High Yield Fund, Inc."
"1781","PGTI","PGT Innovations, Inc."
"1782","PM","Philip Morris International Inc."
"1783","PSX","Phillips 66"
"1784","PSXP","Phillips 66 Partners LP"
"1785","FENG","Phoenix New Media Limited"
"1786","DNK","DNK"
"1787","PHR","PHR"
"1788","DOC","Physicians Realty Trust"
"1789","PDM","Piedmont Office Realty Trust, Inc."
"1790","PCQ","PIMCO California Municipal Income Fund"
"1791","PCK","PCK"
"1792","PZC","PIMCO California Municipal Income Fund III"
"1793","PCM","PCM Fund Inc."
"1794","PTY","PIMCO Corporate & Income Opportunity Fund"
"1795","PCN","PIMCO Corporate & Income Strategy Fund"
"1796","PCI","PIMCO Dynamic Credit and Mortgage Income Fund"
"1797","PDI","PIMCO Dynamic Income Fund"
"1798","NRGX","NRGX"
"1799","PGP","PIMCO Global StocksPLUS & Income Fund"
"1800","PHK","PIMCO High Income Fund"
"1801","PKO","PIMCO Income Opportunity Fund"
"1802","PFL","PIMCO Income Strategy Fund"
"1803","PFN","PIMCO Income Strategy Fund II"
"1804","PMF","PIMCO Municipal Income Fund"
"1805","PML","PIMCO Municipal Income Fund II"
"1806","PMX","PIMCO Municipal Income Fund III"
"1807","PNF","PIMCO New York Municipal Income Fund"
"1808","PNI","PIMCO New York Municipal Income Fund II"
"1809","PYN","PIMCO New York Municipal Income Fund III"
"1810","RCS","PIMCO Strategic Income Fund, Inc."
"1811","PING","PING"
"1812","PNW","Pinnacle West Capital Corporation"
"1813","PINS","PINS"
"1814","PHD","Pioneer Floating Rate Trust"
"1815","PHT","Pioneer High Income Trust"
"1816","MAV","Pioneer Municipal High Income Advantage Trust"
"1817","MHI","Pioneer Municipal High Income Trust"
"1818","PXD","Pioneer Natural Resources Company"
"1819","PIPR","PIPR"
"1820","PBI","Pitney Bowes Inc."
"1821","PIC","PIC"
"1822","PJT","PJT Partners Inc."
"1823","PAA","Plains All American Pipeline, L.P."
"1824","PAGP","Plains GP Holdings, L.P."
"1825","PLNT","Planet Fitness, Inc."
"1826","PLT","Plantronics, Inc."
"1827","AGS","AGS"
"1828","PHI","PLDT Inc."
"1829","PLYM","PLYM"
"1830","PNC","The PNC Financial Services Group, Inc."
"1831","PNM","PNM Resources, Inc."
"1832","PII","Polaris Industries Inc."
"1833","POR","Portland General Electric Company"
"1834","PKX","POSCO"
"1835","POST","Post Holdings, Inc."
"1836","PSTL","PSTL"
"1837","PPG","PPG Industries, Inc."
"1838","PPX","PPL Capital Funding, Inc."
"1839","PPL","PPL Corporation"
"1840","PYS","PPlus Trust Series RRD-1"
"1841","PYT","PPLUS Trust Series GSC-2"
"1842","PQG","PQG"
"1843","PDS","Precision Drilling Corporation"
"1844","APTS","Preferred Apartment Communities, Inc."
"1845","PBH","Prestige Brands Holdings, Inc."
"1846","PVG","Pretium Resources Inc."
"1847","PRI","Primerica, Inc."
"1848","PRMW","Primo Water Corporation"
"1849","PGZ","Principal Real Estate Income Fund"
"1850","PRA","ProAssurance Corporation"
"1851","PG","The Procter & Gamble Company"
"1852","PGR","The Progressive Corporation"
"1853","PLD","Prologis, Inc."
"1854","PUMP","PUMP"
"1855","PRO","PROS Holdings, Inc."
"1856","PROS","PROS"
"1857","PBB","Prospect Capital Corporation"
"1858","PBC","PBC"
"1859","PBY","PBY"
"1860","PB","Prosperity Bancshares, Inc."
"1861","PRLB","Proto Labs, Inc."
"1862","PFS","Provident Financial Services, Inc."
"1863","PJH","PreferredPlus Trust Series BLC-2"
"1864","PRH","Prudential Financial, Inc."
"1865","PRS","PRS"
"1866","PRU","Prudential Financial, Inc."
"1867","PUK","Prudential plc"
"1868","PSB","PS Business Parks, Inc."
"1869","TLK","PT Telekomunikasi Indonesia Tbk"
"1870","PEG","Public Service Enterprise Group Incorporated"
"1871","PSA","Public Storage"
"1872","PHM","PulteGroup, Inc."
"1873","PSTG","Pure Storage, Inc."
"1874","PMM","Putnam Managed Municipal Income Trust"
"1875","PIM","Putnam Master Intermediate Income Trust"
"1876","PMO","Putnam Municipal Opportunities Trust"
"1877","PPT","Putnam Premier Income Trust"
"1878","NEW","NEW"
"1879","PVH","PVH Corp."
"1880","PZN","Pzena Investment Management, Inc"
"1881","QTWO","Q2 Holdings, Inc."
"1882","QEP","QEP Resources, Inc."
"1883","QGEN","QIAGEN N.V."
"1884","QTS","QTS Realty Trust, Inc."
"1885","QUAD","Quad/Graphics, Inc."
"1886","KWR","Quaker Chemical Corporation"
"1887","NX","Quanex Building Products Corporation"
"1888","PWR","Quanta Services, Inc."
"1889","QD","QD"
"1890","DGX","Quest Diagnostics Incorporated"
"1891","QUOT","Quotient Technology Inc."
"1892","QVCC","QVCC"
"1893","QVCD","QVCD"
"1894","CTAA","Qwest Corp."
"1895","CTBB","CTBB"
"1896","CTDD","CTDD"
"1897","CTV","Qwest Corp."
"1898","CTY","Qwest Corp."
"1899","CTZ","Qwest Corp."
"1900","RRD","R.R. Donnelley & Sons Company"
"1901","RMED","RMED"
"1902","RDN","Radian Group Inc."
"1903","RFL","RFL"
"1904","RL","Ralph Lauren Corporation"
"1905","RRC","Range Resources Corporation"
"1906","RNGR","RNGR"
"1907","PACK","PACK"
"1908","RJF","Raymond James Financial, Inc."
"1909","RYAM","Rayonier Advanced Materials Inc."
"1910","RYN","Rayonier Inc."
"1911","RTX","RTX"
"1912","RMAX","RE/MAX Holdings, Inc."
"1913","RC","RC"
"1914","RCA","RCA"
"1915","RCB","RCB"
"1916","RCP","RCP"
"1917","RLGY","Realogy Holdings Corp."
"1918","O","Realty Income Corporation"
"1919","RLH","Red Lion Hotels Corporation"
"1920","RWT","Redwood Trust, Inc."
"1921","RBC","Regal Beloit Corporation"
"1922","RM","Regional Management Corp."
"1923","RF","Regions Financial Corporation"
"1924","RGS","Regis Corporation"
"1925","RGA","Reinsurance Group of America, Incorporated"
"1926","RZA","Reinsurance Group of America, Incorporated"
"1927","RZB","RZB"
"1928","RS","Reliance Steel & Aluminum Co."
"1929","RELX","RELX PLC"
"1930","RNR","RenaissanceRe Holdings Ltd."
"1931","SOL","ReneSola Ltd"
"1932","RENN","Renren Inc."
"1933","RPLA","RPLA"
"1934","RSG","Republic Services, Inc."
"1935","REZI","REZI"
"1936","RMD","ResMed Inc."
"1937","RFP","Resolute Forest Products Inc."
"1938","QSR","Restaurant Brands International Inc."
"1939","RPAI","Retail Properties of America, Inc."
"1940","RVI","RVI"
"1941","REVG","REVG"
"1942","REV","Revlon, Inc."
"1943","RVLV","RVLV"
"1944","REX","REX American Resources Corporation"
"1945","REXR","Rexford Industrial Realty, Inc."
"1946","RXN","Rexnord Corporation"
"1947","RH","RH"
"1948","RNG","RingCentral, Inc."
"1949","RIO","Rio Tinto plc"
"1950","RBA","Ritchie Bros. Auctioneers Incorporated"
"1951","RAD","Rite Aid Corporation"
"1952","RFM","RFM"
"1953","RMM","RMM"
"1954","RMI","RMI"
"1955","RIV","RiverNorth Opportunities Fund, Inc."
"1956","RSF","RSF"
"1957","OPP","OPP"
"1958","RLI","RLI Corp."
"1959","RLJ","RLJ Lodging Trust"
"1960","RMG","RMG"
"1961","RHI","Robert Half International Inc."
"1962","ROK","Rockwell Automation Inc."
"1963","RCI","Rogers Communications Inc."
"1964","ROG","Rogers Corporation"
"1965","ROL","Rollins, Inc."
"1966","ROP","Roper Technologies, Inc."
"1967","RST","Rosetta Stone Inc."
"1968","RY","Royal Bank of Canada"
"1969","RCL","Royal Caribbean Cruises Ltd."
"1970","RGT","Royce Global Value Trust, Inc."
"1971","RMT","Royce Micro-Cap Trust, Inc."
"1972","RVT","Royce Value Trust Inc."
"1973","RES","RPC, Inc."
"1974","RPM","RPM International Inc."
"1975","RPT","Ramco-Gershenson Properties Trust"
"1976","RYB","RYB"
"1977","R","Ryder System, Inc."
"1978","RYI","Ryerson Holding Corporation"
"1979","RHP","Ryman Hospitality Properties, Inc."
"1980","SPGI","SPGI"
"1981","SBR","Sabine Royalty Trust"
"1982","SB","Safe Bulkers, Inc."
"1983","SFE","Safeguard Scientifics, Inc."
"1984","SAFE","SAFE"
"1985","SAIL","SAIL"
"1986","CRM","Salesforce.com, inc."
"1987","SMM","Salient Midstream & MLP Fund"
"1988","SBH","Sally Beauty Holdings, Inc."
"1989","SJT","San Juan Basin Royalty Trust"
"1990","SD","SD"
"1991","PER","SandRidge Permian Trust"
"1992","SAND          ","SAND          "
"1993","SC","Santander Consumer USA Holdings Inc."
"1994","SAP","SAP SE"
"1995","SAF","SAF"
"1996","SAK","SAK"
"1997","SAR","Saratoga Investment Corp."
"1998","SSL","Sasol Limited"
"1999","BFS","Saul Centers Inc."
"2000","SCPE","SCPE"
"2001","SLB","Schlumberger Limited"
"2002","SNDR","SNDR"
"2003","SWM","Schweitzer-Mauduit International, Inc."
"2004","SAIC","Science Applications International Corporation"
"2005","SALT","Scorpio Bulkers Inc."
"2006","SBBA","SBBA"
"2007","STNG","Scorpio Tankers Inc."
"2008","SMG","The Scotts Miracle-Gro Company"
"2009","KTF","Deutsche Municipal Income Trust"
"2010","KSM","Deutsche Strategic Municipal Income Trust"
"2011","SRL","SRL"
"2012","SCU","SCU"
"2013","SCVX","SCVX"
"2014","SE","Spectra Energy Corp"
"2015","SA","Seabridge Gold Inc."
"2016","CKH","Seacor Holdings Inc."
"2017","SMHI","SMHI"
"2018","SEE","Sealed Air Corporation"
"2019","SEAS","SeaWorld Entertainment, Inc."
"2020","WTTR","WTTR"
"2021","SEM","Select Medical Holdings Corporation"
"2022","SLQT","SLQT"
"2023","SRE","Sempra Energy"
"2024","SREA","SREA"
"2025","ST","Sensata Technologies Holding N.V."
"2026","SXT","Sensient Technologies Corporation"
"2027","SQNS","Sequans Communications S.A."
"2028","SRG","Seritage Growth Properties"
"2029","SCI","Service Corporation International"
"2030","SERV","ServiceMaster Global Holdings, Inc."
"2031","NOW","ServiceNow, Inc."
"2032","SFL","Ship Finance International Limited"
"2033","SHAK","Shake Shack Inc."
"2034","SJR","Shaw Communications Inc."
"2035","SHLX","Shell Midstream Partners, L.P."
"2036","SHW","The Sherwin-Williams Company"
"2037","FOUR","4Licensing Corporation"
"2038","SHG","Shinhan Financial Group Co., Ltd."
"2039","SHOP","Shopify Inc."
"2040","SSTK","Shutterstock, Inc."
"2041","SBSW","SBSW"
"2042","SIG","Signet Jewelers Limited"
"2043","SBOW","SBOW"
"2044","SI","SI"
"2045","SPG","Simon Property Group, Inc."
"2046","SSD","Simpson Manufacturing Co., Inc."
"2047","SHI","Sinopec Shanghai Petrochemical Company Limited"
"2048","SITC","SITC"
"2049","SITE","SITE"
"2050","SIX","Six Flags Entertainment Corporation"
"2051","TSLX","TPG Specialty Lending, Inc."
"2052","SJW","SJW Group"
"2053","SKM","SK Telecom Co., Ltd."
"2054","SKX","Skechers U.S.A., Inc."
"2055","SKY","Skyline Corporation"
"2056","SLG","SL Green Realty Corp."
"2057","WORK","WORK"
"2058","SM","SM Energy Company"
"2059","SMAR","SMAR"
"2060","SNN","Smith & Nephew plc"
"2061","SNAP","SNAP"
"2062","SNA","Snap-on Incorporated"
"2063","IPOB","IPOB"
"2064","IPOC","IPOC"
"2065","SQM","Sociedad Química y Minera de Chile S.A."
"2066","SOGO","SOGO"
